,PRIMARY,GAIA,HD,HIP,GJ,CSTL,TIC,TOI,mass,radius,period,t0,k,nb_confirmed,t0_transit,i,ecc,peri
0,HD133725,Gaia DR3 1295674883108568704,HD133725,HIP73765,-,-,TIC20182165,1830.01,317.0,18.2,9.7816,2459680.305818,81.7,0,2459680.305818,90.0,0.0,0.0
1,HD155060,Gaia DR3 1334288219648212352,HD155060,HIP83827,-,-,TIC21832928,2128.01,7.4,2.63,16.3414,2458987.266354,1.8,1,2458987.266354,90.0,0.0,0.0
2,HD50554,Gaia DR3 3380479015342121600,HD50554,HIP33212,-,-,TIC80224448,6965.01,2.4,1.35,5.9693,2459505.193695,0.8,1,2459505.193695,90.0,0.0,0.0
3,HD50554,Gaia DR3 3380479015342121600,HD50554,HIP33212,-,-,TIC80224448,6965.02,3.3,1.62,28.0694,2459508.008646,0.6,1,2459508.008646,90.0,0.0,0.0
4,HD191785,Gaia DR3 1809360187275432832,HD191785,HIP99452,GJ783.2A,-,TIC87216634,5789.01,7.0,2.54,12.9256,2459776.255982,2.1,0,2459776.255982,90.0,0.0,0.0
5,HD197310,Gaia DR3 1870443315230650240,HD197310,-,-,-,TIC99896567,6074.01,3.1,1.57,12.1325,2458690.53445,0.8,0,2458690.53445,90.0,0.0,0.0
6,HD63433,Gaia DR3 875071278432954240,HD63433,HIP38228,-,-,TIC130181866,1726.01,5.9,2.29,7.1079,2458845.373051,1.9,3,2458845.373051,90.0,0.0,0.0
7,HD63433,Gaia DR3 875071278432954240,HD63433,HIP38228,-,-,TIC130181866,1726.02,7.2,2.57,20.5438,2459583.637103,1.7,3,2459583.637103,90.0,0.0,0.0
8,HD148049,Gaia DR3 1423602030208324864,HD148049,HIP80264,-,-,TIC162631539,5724.01,9.4,3.02,69.7404,2458978.277627,0.6,0,2458978.277627,90.0,0.0,0.0
9,HD73344,Gaia DR3 666427539629086976,HD73344,HIP42403,-,-,TIC175193677,5140.01,8.8,2.9,15.6114,2459547.722323,2.1,3,2459547.722323,90.0,0.0,0.0
10,HD158259,Gaia DR3 1416050859226670848,HD158259,HIP85268,-,-,TIC188768068,1462.01,2.2,1.28,2.1779,2460338.523071,1.1,5,2460338.523071,90.0,0.0,0.0
11,HD155902,Gaia DR3 1432617510160019200,HD155902,HIP84062,GJ3993,-,TIC198384408,1689.01,4.8,2.05,9.1238,2458823.255936,1.5,0,2458823.255936,90.0,0.0,0.0
12,HD189733,Gaia DR3 1827242816201846144,HD189733A,HIP98505,GJ4130,-,TIC256364928,4470.01,116.9,13.3,2.2186,2459770.410421,64.4,1,2459770.410421,90.0,0.0,0.0
13,HD219134,Gaia DR3 2009481748875806976,HD219134,HIP114622,GJ892,-,TIC283722336,1469.01,2.2,1.28,3.0929,2460606.251961,1.1,6,2460606.251961,90.0,0.0,0.0
14,HD219134,Gaia DR3 2009481748875806976,HD219134,HIP114622,GJ892,-,TIC283722336,1469.02,2.5,1.39,6.765,2460599.497252,1.0,6,2460599.497252,90.0,0.0,0.0
15,rhoCnc,Gaia DR3 704967037090946688,HD75732,HIP43587,GJ324A,rho Cnc,TIC332064670,1773.01,4.8,2.02,0.7365,2458870.692828,3.6,5,2458870.692828,90.0,0.0,0.0
16,HD25463,Gaia DR3 3301771025223950336,HD25463,HIP18893,-,-,TIC407966340,554.01,8.5,2.85,7.0492,2458442.61543,2.4,2,2458442.61543,90.0,0.0,0.0
17,HD25463,Gaia DR3 3301771025223950336,HD25463,HIP18893,-,-,TIC407966340,554.02,2.3,1.33,3.044,2458438.475888,0.9,2,2458438.475888,90.0,0.0,0.0
