,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,Rank_NEID,V,Teff (K),log g,Δ,t_exp (s),rv_rms_db,nobs_db,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,nobs_NEID,rv_rms_NEID
0,HD19019,Gaia DR3 6963761190199424,HD19019,HIP14258,-,TIC365294034,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
1,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,F8,,,,,,,,,,,,,,,,,,,0,
2,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,K3V,,,,,,,,,,,,,,,,,,,0,
3,HD15095,Gaia DR3 24340923991956352,HD15095,-,-,TIC381002396,-,-,G0,,,,,,,,,,,,,,,,,,,0,
4,HD15942,Gaia DR3 26147868272907648,HD15942,HIP11941,-,TIC408819542,-,-,G0,,,,,,,,,,,,,,,,,,,0,
5,HD18144,Gaia DR3 34959010860789632,HD18144,HIP13601,-,TIC257918985,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
6,HD25849,Gaia DR3 39026791568954112,HD25849,HIP19157,-,TIC311151363,-,-,-,,,,,,,,,,,,,,,,,,,0,
7,HD21962,Gaia DR3 42768532716776704,HD21962,HIP16538,-,TIC435290852,-,-,-,,,,,,,,,,,,,,,,,,,0,
8,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,G7V,34.0,6.81,5531.0,4.5,4.89,936.0,4.2,96.0,4.174,902.0,,32.0,50.0,1.19,1.19,3.15,,,82,2.707
9,HD24040,Gaia DR3 43802039287826432,HD24040,HIP17960,-,TIC456863621,-,-,G1,,,,,,,,,,,,,,,,,,,0,
10,HD27149,Gaia DR3 47620265212420096,HD27149,HIP20056,-,TIC17150156,-,-,-,,,,,,,,,,,,,,,,,,,0,
11,HD27406,Gaia DR3 48203487411427456,HD27406,HIP20237,-,TIC17232188,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
12,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-, 39 Tau,G5V,,,,,,,,,,,,,,,,,,,0,
