,GAIA,name,method,year,period,radius,mass,k,ecc,peri,t0,t0_transit,i
0,Gaia DR3 43802039287826432,HD 24040 b,Radial Velocity,2006,3552.0,,1287.205,50.53,0.04,110.5,2454308.0,2456932.0,
1,Gaia DR3 43802039287826432,HD 24040 c,Radial Velocity,2021,515.4,,63.8835,4.85,0.11,-17.1887,,2454984.0,
2,Gaia DR3 102082477749475200,30 Ari B b,Radial Velocity,2009,335.1,,3140.03,272.0,0.289,322.0,2453890.35,,
3,Gaia DR3 105332908999068032,HD 12661 b,Radial Velocity,2000,262.6193,,737.35,73.595,0.3689,296.15,2451526.75,2456079.28,
4,Gaia DR3 105332908999068032,HD 12661 c,Radial Velocity,2002,1702.35,,585.5858,30.185,0.028,60.0,2454127.21,2455774.9,
5,Gaia DR3 116037204451525376,HD 18143 b,Radial Velocity,2022,10.2851,,10.8062,3.614,0.224,60.123,2427146.014,,
6,Gaia DR3 116037204451525376,HD 18143 c,Radial Velocity,2022,28982.4176,,3177.6484,43.943,0.194,313.318,2427146.014,,35.98
7,Gaia DR3 129321160344480512,HD 17674 b,Radial Velocity,2017,623.8,,276.5121,21.1,0.13,,2455904.8,,
8,Gaia DR3 169149766470219520,HD 26161 b,Radial Velocity,2021,21471.1451,,6668.04,334.5495,0.871,2.2486,2448488.814,2460540.0,59.558
9,Gaia DR3 224870885460646016,HD 23596 b,Radial Velocity,2003,1561.0,,2870.0049,127.0,0.282,273.35,2452362.1901,,36.449
10,Gaia DR3 297045096447719040,HD 8574 b,Radial Velocity,2002,227.02,,608.6325,58.3,0.2985,18.0,2452725.9,2453548.1,
11,Gaia DR3 340028235795364864,HD 16175 b,Radial Velocity,2009,990.0,,1568.491,98.75,0.6185,221.5,2455800.4,,59.0
12,Gaia DR3 348020482735930112,ups And b,Radial Velocity,1996,4.6171,,218.531,70.51,0.02,51.0,2450006.3503,2454083.853,
13,Gaia DR3 348020482735930112,ups And c,Radial Velocity,1999,241.2405,,629.4375,56.085,0.2495,237.05,2450159.4,2455133.7,
14,Gaia DR3 348020482735930112,ups And d,Radial Velocity,1999,1279.8035,,1307.8672,65.4,0.2815,255.7455,2450071.02,2453360.6,
15,Gaia DR3 351537889154226816,HD 13931 b,Radial Velocity,2009,4449.0,,610.2336,23.38,0.02,86.5,2453359.0,2456650.0,43.0
16,Gaia DR3 369092520004831232,HD 3765 b,Radial Velocity,2021,1211.0,,54.9843,3.85,0.298,-63.0254,,2455607.0,
17,Gaia DR3 581100382135253760,HD 75302 b,Radial Velocity,2023,4356.0,,1716.2734,,0.39,307.0,2457607.0,,29.0
18,Gaia DR3 582221750852254080,HD 74156 b,Radial Velocity,2003,51.6382,,565.394,110.2925,0.636,174.875,2450793.39,2455231.464,
19,Gaia DR3 582221750852254080,HD 74156 c,Radial Velocity,2003,2448.75,,2551.5895,112.98,0.3802,267.55,2450980.0,2457109.7,86.981
20,Gaia DR3 666427539629086976,HD 73344 b,Transit,2024,15.6112,2.9033,11.455,2.58,0.015,76.9455,,2458290.25,88.082
21,Gaia DR3 666427539629086976,HD 73344 c,Radial Velocity,2025,65.94,,118.55,16.36,0.124,112.0,,2455482.98,
22,Gaia DR3 666427539629086976,HD 73344 d,Radial Velocity,2025,5823.0,,810.4624,22.7,0.18,58.9,2458061.0,2444345.0,59.0
23,Gaia DR3 704967037090946688,55 Cnc b,Radial Velocity,1996,14.6514,,262.9298,71.435,0.0094,98.5,2450001.861,2455803.293,89.865
24,Gaia DR3 704967037090946688,55 Cnc c,Radial Velocity,2004,44.3794,,54.0298,10.12,0.0615,57.0,2451497.1296,2455846.83,89.865
25,Gaia DR3 704967037090946688,55 Cnc d,Radial Velocity,2002,4888.0,,1219.6235,47.2,0.0965,181.3,2452642.8,2455790.0,89.865
26,Gaia DR3 704967037090946688,55 Cnc e,Radial Velocity,2004,0.7365,1.9335,8.0948,6.06,0.045,90.0,2450436.6251,2456340.655,84.65
27,Gaia DR3 704967037090946688,55 Cnc f,Radial Velocity,2007,260.91,,46.8797,4.855,0.142,152.5,2450080.9108,2456020.7,89.865
28,Gaia DR3 741184091114529792,HD 88986 b,Radial Velocity,2023,146.05,2.49,17.2,1.85,0.24,306.0,,2458891.69,89.9
29,Gaia DR3 746545172372256384,HD 86728 b,Radial Velocity,2025,31.1515,,9.43,1.97,0.067,92.0,,2459260.69,
30,Gaia DR3 747266452000257280,HD 87883 b,Radial Velocity,2009,3006.0,,728.4627,42.67,0.707,285.7255,2450901.0,2454589.0,21.123
31,Gaia DR3 777254360337133312,47 UMa b,Radial Velocity,1996,1078.0,,804.08,48.4,0.032,147.0,2451047.6,2454415.6,
32,Gaia DR3 777254360337133312,47 UMa c,Radial Velocity,2001,2391.0,,171.621,8.0,0.098,127.0,2452287.5,2455651.0,
33,Gaia DR3 777254360337133312,47 UMa d,Radial Velocity,2009,16501.0,,500.5704,13.1,0.27,80.5,2451736.0,2451820.0,
