# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec 20 15:02:37 2024
#
# User preference: *
#
# COLUMN hip_name:       HIP ID
# COLUMN hip_compname:   HIP Component ID
# COLUMN hd_name:        HD ID
# COLUMN hr_name:        HR ID
# COLUMN gj_name:        GJ ID
# COLUMN constellation:  Constellation ID
# COLUMN hostname:       Host Name
# COLUMN sy_dist:        Distance [pc]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_bvmag:       B-V (Johnson) Color [mag]
# COLUMN sy_rcmag:       R (Cousins) Magnitude
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log10(Solar)]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_diam:        Stellar Angular Diameter [mas]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_log_rhk:     Stellar Ca II Chromospheric Activity Index [log R HK]
# COLUMN st_eei_orbsep:  Earth Equivalent Insolation Distance [au]
# COLUMN st_eei_angsep:  Earth Equivalent Insolation Distance [mas]
# COLUMN st_etwin_bratio: Earth Equivalent Planet-Star Ratio
# COLUMN st_etwin_rcmag: Earth Equivalent R (Cousins) Magnitude
# COLUMN st_eei_orbper:  Orbital Period at EEID [days]
# COLUMN st_etwin_rvamp: Earth Equivalent Radial Velocity Amplitude [cm/s]
# COLUMN st_etwin_astamp: Earth Equivalent Astrometric Amplitude [uas]
#
loc_rowid	hip_name	hip_compname	hd_name	hr_name	gj_name	constellation	hostname	sy_dist	ra	dec	sy_plx	sy_vmag	sy_bvmag	sy_rcmag	st_spectype	st_teff	st_lum	st_rad	st_diam	st_mass	st_met	st_logg	st_log_rhk	st_eei_orbsep	st_eei_angsep	st_etwin_bratio	st_etwin_rcmag	st_eei_orbper	st_etwin_rvamp	st_etwin_astamp
1	HIP 42438		HD 72905	HR 3391	GJ 311	3 UMa	3 Ursae Majoris A	14.4388	129.7987692	65.0209064	69.2576	5.630	0.618	5.260	G0.5V Fe-0.5	5893	-0.0118	0.946	0.610	1.08	-0.070	4.530	-4.375	0.987	68.32	1.19e-10	30.07	345.2	8.74	0.191
2	HIP 44897		HD 78366	HR 3625	GJ 334.2		HD 78366	18.9498	137.2127933	33.8822184	52.7709	5.962	0.585	5.590	G0IV-V	5992	0.1029	1.045	0.513	1.08	0.040	4.500	-4.608	1.126	59.41	9.13e-11	30.69	419.8	8.16	0.165
3	HIP 45038	A	HD 78154 A	HR 3616 A	GJ 335A	13 UMa A	13 Ursae Majoris A	20.5169	137.5981111	67.1340172	48.7404	4.809	0.486	4.520	F7V	6325	0.6096	1.680	0.762	1.21	-0.020	4.070	-4.901	2.018	98.34	2.84e-11	30.89	951.6	5.76	0.244
4	HIP 48113		HD 84737	HR 3881	GJ 368		HD 84737	18.8226	147.1473806	46.0210074	53.1277	5.086	0.619	4.700	G0(V)	5893	0.4464	1.604	0.793	1.08	0.100	4.120	-5.085	1.672	88.83	4.14e-11	30.66	761.6	6.71	0.248
5	HIP 51459	A	HD 90839	HR 4112 A	GJ 395	36 UMa A	36 Ursae Majoris A	12.9452	157.6565803	55.9805388	77.2485	4.820	0.518	4.510	F8V	6164	0.2055	1.111	0.798	1.18	-0.120	4.430	-4.775	1.267	97.87	7.21e-11	29.87	479.5	7.36	0.249
6	HIP 51523		HD 91324	HR 4134	GJ 9332		HD 91324	22.0616	157.8409203	-53.7154836	45.3276	4.897	0.500	4.590	F9V Fe-0.8 CH-0.7	6155	0.6437	1.845	0.778	1.16	-0.400	3.830	-4.970	2.098	95.10	2.63e-11	31.04	1030.7	5.77	0.246
7	HIP 57939		HD 103095	HR 4550	GJ 451	CF UMa	Groombridge 1830	9.1718	178.2448639	37.7186817	109.0296	6.427	0.754	5.959	K1V Fe-1.5	5057	-0.6737	0.600	0.608	0.85	-1.330	4.640	-4.896	0.460	50.20	5.46e-10	29.12	123.8	14.39	0.177
8	HIP 61174		HD 109085	HR 4775	GJ 9411	eta Crv	Eta Corvi	18.2437	188.0176100	-16.1960052	54.8135	4.297	0.378	4.070	F2V	6871	0.6650	1.517	0.774	1.44	-0.060	4.242	-4.313	2.150	117.86	2.50e-11	30.57	959.7	5.11	0.246
9	HIP 61317		HD 109358	HR 4785	GJ 475	bet CVn	Chara	8.4727	188.4356011	41.3574781	118.0266	4.260	0.585	3.890	G0V	5878	0.0611	1.034	1.136	1.08	-0.200	4.420	-4.970	1.073	126.62	1.01e-10	28.88	390.6	8.36	0.352
10	HIP 64408		HD 114613	HR 4979	GJ 9432		HD 114613	20.4628	198.0132679	-37.8030222	48.8691	4.847	0.701	4.462	G4IV	5688	0.6256	2.116	0.962	0.99	0.160	3.920	-5.068	2.055	100.42	2.74e-11	30.87	1081.4	6.31	0.305
11	HIP 71284		HD 128167	HR 5447	GJ 557	sig Boo	Sigma Bootis	15.7560	218.6700724	29.7451271	63.4679	4.465	0.364	4.230	F4VkF2mF1	6745	0.5027	1.306	0.771	1.39	-0.410	4.260	-4.507	1.784	113.21	3.64e-11	30.33	738.1	5.72	0.245
12	HIP 72659	A	HD 131156 A	HR 5544 A	GJ 566A	xi Boo A	Xi Bootis A	6.7536	222.8474519	19.1004499	148.0695	4.540	0.720	4.251	G8-V	5487	-0.2572	0.823	1.133	0.96	-0.140	4.540	-4.363	0.744	110.12	2.09e-10	28.45	239.1	10.65	0.345
