"SpT","Teff [K]"
O9V,34000
09.5V,32000
B0V,31500
B0.5V,29000
B1V,26000
B1.5V,24800
B2V,20600
B2.5V,18500
B3V,17000
B4V,16700
B5V,15700
B6V,14500
B7V,14000
B8V,12500
B9V,10700
B9.5V,10400
A0V,9700
A1V,9200
A2V,8840
A3V,8550
A4V,8270
A5V,8080
A6V,8000
A7V,7800
A8V,7500
A9V,7440
F0V,7200
F1V,7030
F2V,6810
F3V,6720
F4V,6640
F5V,6510
F6V,6340
F7V,6240
F8V,6150
F9V,6040
G0V,5920
G1V,5880
G2V,5770
G3V,5720
G4V,5680
G5V,5660
G6V,5590
G7V,5530
G8V,5490
G9V,5340
K0V,5280
K1V,5170
K2V,5040
K3V,4840
K4V,4620
K5V,4450
K6V,4200
K7V,4050
K8V,3970
K9V,3880
M0V,3850
M1V,3680
M2V,3550
M3V,3400
M4V,3200
M5V,3050
M6V,2800
M7V,2650
M8V,2570
M9V,2450
