"Lam_min","Lam_max","7000","6000","5000","4500","3700","3200","2800","2500"
380,450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,650,NaN,NaN,NaN,NaN,1.489,1.952,5.180,NaN
650,750,NaN,NaN,NaN,NaN,0.980,0.920,1.416,3.687
750,850,NaN,NaN,NaN,NaN,1.982,1.088,1.110,3.499
850,950,NaN,NaN,NaN,NaN,4.375,2.572,1.750,3.981
950,1150,NaN,NaN,NaN,NaN,4.203,2.984,1.723,2.123
1150,1425,NaN,NaN,NaN,NaN,6.748,4.774,2.630,1.961
1425,1780,NaN,NaN,NaN,NaN,3.508,3.268,2.244,2.316
1980,2380,NaN,NaN,NaN,NaN,3.508,3.268,2.244,2.316
