star_ID  ;prio;sys            ;R.A.[deg];R.A.[min] ;R.A.[sec]  ;DEC [deg];DEC [amin];DEC [arcs]  ;dist [pc]         ;magV     ;magJ ;magH ;magK ;spT   ;Teff ;Teff_e;met  ;mass ;mass_e;lum    ;lum_e;R*   ;R*_e;vsini ;vsini_e;logg;logg_e;age  ;age_e;Protmax;Protmax_e;Prot;Prot_e;i*;i*_e;i_dd  ;i_dd_e;Prot_d;Prot_d_e;dd_t1;dd_l1;dd_r1;dd_l2;RV_Prec(390-870) 10m;RV_Prec(390-870) 30m;HZ Rin;HZ Rout;P(HZ);mdl(hz) 30min;Notes RL;Notes MH
HD224953A;3;Multiple system;0;2;8.728;-68;16;50.751;15.196;9.57;6.736;6.113;5.896;K5.0;3950;70;-999;0.59;0.02;0.82;0.001;0.611;0.008;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.66;0.38;0.27;0.39;90.14;1.87;Close stellar comp.;
HD55;0;Unknown system ;0;5;17.689;-67;49;57.323;16.392;8.485;6.44;5.885;5.714;K4.5 V;4530;70;-0.66;0.71;0.02;0.144;0.0008;0.615;0.005;2.68;1.39;4.22;0.25;-999;-999;11.62;6.03;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.48;0.27;0.36;0.52;126.51;1.68;-999;Big jump from pre to post upgrade datasets. Taking only the pre-upgrade dataset, RMS 2.01 m/s, no RV signal. Most act ind are quiet, but signals at ~100s d in Halpha
HD693;2;Unknown system ;0;11;15.858;-15;28;4.720;18.886;4.89;4.153;3.8;3.821;F8 V;6270;70;-0.31;1.25;0.05;2.97;0.04;1.46;0.01;-999;-999;3.88;0.08;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;110;2.4e-06;11;-999;1.19;0.69;1.64;2.36;923.99;12.17;mdl(hz) > 10mE;
HD739;2;Unknown system ;0;11;44.021;-35;7;59.213;21.719;5.239;4.41;4.159;4.13;F5 V;6490;70;-0.04;1.29;0.05;3.04;0.03;1.38;0.01;-999;-999;4.08;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2.36;1.36;1.66;2.39;926.66;24.53;mdl(hz) > 10mE;
HD1237;3;Unknown system ;0;16;12.678;-79;51;4.245;17.498;6.59;5.366;4.99;4.859;G8 V;5510;70;-0.05;0.93;0.02;0.647;0.005;0.882;0.007;5.07;2.25;-999;-999;-999;-999;8.81;3.91;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.27;0.15;0.76;1.1;339.67;1.56;Warm Jupiter at 134d, PMS star <100Myr;One known planet, b at 133.7d, 3.37 MJ (Naef et al 2001) -> CORALIE RVs. Relatively few HARPS RVs, what looks like a linear is probably part of the long-period planet. Also, the HARPS RVs are intensive series taken over 3 nights, of 10 points/night! 
HD2025;0;Unknown system ;0;24;25.933;-27;1;36.381;17.913;7.916;6.197;5.707;5.559;K3 V;4820;70;-0.31;0.77;0.02;0.245;0.002;0.71;0.004;2.36;2.54;4.46;0.04;-999;-999;15.23;16.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.37;0.21;0.47;0.68;181.48;1.56;-999;No data on exoplanet archive. Only 6 obs over 6 years. RV RMS reasonable
HD2151;0;Unknown system ;0;25;45.070;-77;15;15.286;7.459;2.79;1.72;1.4;1.34;G0 V;5880;70;-0.09;1.15;0.2;3.63;0.02;1.84;0.01;-999;-999;4.09;0.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.05;0.03;0.95;1.37;425.52;0.39;HWO target candidate;
HD3651;3;Multiple system;0;39;21.805;21;15;1.713;11.108;5.88;4.549;4.064;3.999;K0.5 V;5240;70;0.17;0.88;0.02;0.525;0.004;0.879;0.006;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.17;0.10;0.69;0.99;299.75;0.96;Warm Jupiter at 62d;
HD4391;3;Multiple system;0;45;45.593;-47;33;7.143;15.09;5.794;4.666;4.155;4.298;G3 V;5850;70;-0.18;1.02;0.03;0.944;0.006;0.946;0.005;5.0;2.24;-999;-999;-999;-999;9.58;4.29;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.21;0.12;0.92;1.33;431.53;1.43;Eclipsing Binary;RV peaks at 50, 60d, but also peaks in CRX, Halpha at 50d (G pdf). Taking the night medians (GK pdf), no peaks!
HD4378A;0;Multiple system;0;45;48.287;-41;54;33.080;15.725;8.51;6.082;5.449;5.318;K5 V;3800;200;-999;0.6;0.1;0.2;0.1;1.1;0.4;-999;-999;3.32;0.7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.33;0.19;0.45;0.65;192.33;1.22;-999;
