source_id,ID DR2,ID DR3,RA,DEC,V mag,Phot G mean mag,Phot BP mean mag,Phot RP mean mag,BP-RP,Parallax,Teff Gaia [K],Teff sdb [K],DEB Lum,Mass {M_sun],Mass (RL),vsin(i) [km/s],age [Myr],astrid db,L* Gaia [L_Sun],L* sdb [Lsun],Radius [R_Sun],R* sdb [Rsun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_Ïƒ_RV_total [m/s],HZ DetLim [M_E],Semi-Amplitude_Ïƒ_photon [m/s],HZ DetLim (Ïƒ_photon) [M_E],Ïƒ_photon [m/s],Ïƒ_granulation [m/s],Ïƒ_p-mode [m/s],"Ïƒ_RV,total [m/s]",Density [Solar],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia SpT,HD,astrid db.1,Entry in exoplanet.eu,in 210 list,LitRes Felix,GJ,HIP,Object Type,Stellar Parameter Source,SIMBAD SpT,Readable SpT (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 2552925644460225152,2552925644460225152,2552925644460225152,12.09910707515499,5.27553944692346,5.708550517215729,5.467689037322998,5.938368320465088,4.828773975372314,1.109594345092773,134.4948476893115,4859.3,5010,N,0.81,0.8,-999,5310,Y,0.295,0.294,0.746,0.719,0.7812966968188881,279.9616300555159,0.1155671392669856,1.029241013996949,0.0256064897897642,0.2280514139510978,0.1348215591429769,0.5837975411625851,0.3531250985305872,0.6084762897840358,1.953362366508123,4.5204,-4.91224981156,1.720542135488013,HD_number_match,G,HD 4628,Y,no entry,N,,GJ 33,3765.0,PM*,GAIA,K2.5V,K2.5V,7.435229060298576,1.0,0.0,0.0,0.0,1.0
Gaia DR3 2452378776434477184,2452378776434276992,2452378776434477184,26.0090550571601,-15.93368020069386,3.571155598571301,3.300399780273438,3.799520492553711,2.748299360275269,1.051221132278442,273.8097451185997,5420.0,5450,Y 1.7e-5,0.81,0.61,0.52,6000,Y,0.453,0.5,0.914,0.792,0.9311760332188102,364.6266753510416,0.1326159286635607,1.288131173137566,0.012106083770237,0.1175893729072231,0.0637248047679213,0.6863867356536448,0.4601753676917382,0.6980725000415633,1.060831560138101,,-4.99718092445,1.243596999180874,HD_number_match,F,HD 10700,Y,no entry,Y,Y,GJ 71.0,8102.0,PM*,,G8V,G8V,3.652170961142577,1.0,0.0,1.0,0.0,2.0
Gaia DR3 14163878724940672,14163878724940672,14163878724940672,48.69858114260678,8.97899582038987,7.796942390227318,7.586811542510986,8.025208473205566,6.977957248687744,1.047251224517822,43.26493093675096,5116.8,5199,N,0.82,0.83,0.5,no MG,Y,0.388,0.394,0.801,0.773,0.8805227087044021,332.5755502039617,0.143418436541584,1.365667724146153,0.0721745562732063,0.6872649317879647,0.3799541067334118,0.6434149861980012,0.4111320666855371,0.7550087836908457,1.599491719772813,,-5.00761905452,1.194957252660107,HD_number_match,K,HD 20165,Y,no entry,"Y, no logg, otherwise no potential issues",,GJ 9112,15099.0,PM*,GAIA,K1V,K1V,23.11340798074776,0.0,0.0,0.0,0.0,0.0
Gaia DR3 4780166972587269120,4780166972587269120,4780166972587269120,63.9929255161337,-53.30804447302178,7.615119501881599,7.242782592773438,7.850983142852783,6.498486518859863,1.35249662399292,76.66379283678688,4421.5,4594,N,0.71,0.73,0.5,no MG,Y,0.196,0.195,0.713,0.679,0.6559590325305668,230.0612490818664,0.1257751320937032,0.9608464727277022,0.0610031265213418,0.4660272501222645,0.3212279336121752,0.5697336080131942,0.2932608962473571,0.6623018865782869,1.962817497329519,4.5231,-4.88253965386,1.927454676720255,HIP_number_match,K,HD 27274,Y,no entry,Y,,GJ 167,19884.0,PM*,GAIA,K4.5Vk:,K4.5V,13.04396721055723,0.0,1.0,0.0,0.0,1.0
Gaia DR3 3211461469444773376,3211461469444773376,3211461469444773376,75.2066176720424,-5.758598962923454,6.203080644965172,5.886491775512695,6.436380386352539,5.186892986297607,1.249487400054932,113.0714591247876,4626.9,4778,N,0.78,0.77,3.1,no MG,Y,0.292,0.295,0.797,0.793,0.7898246852791948,290.2632249120762,0.1235571691148218,1.084642450248367,0.031810259300141,0.279245290560821,0.1674807715793742,0.6196166689135819,0.3480613225914486,0.6505275490609348,1.543004944765388,4.4978,-5.01583925298,1.157995415576763,HD_number_match,K,HD 32147,Y,no entry,Y,Y,GJ 183,23311.0,PM*,,K3+V,K3V,8.843964761225756,1.0,0.0,0.0,0.0,1.0
Gaia DR3 3210731015768096000,3210731015767419520,3210731015768096000,82.10736002059835,-3.503099306330114,7.625078404002189,7.242387771606445,7.861436367034912,6.489079475402832,1.37235689163208,77.34986706396188,4440.0,4576,N,0.7,0.72,5.0,no MG,Y,0.202,0.192,0.762,0.698,0.6641555900024295,236.2647827747089,0.1284989730441262,0.979917668584932,0.061248662916533,0.467074915443123,0.322516336437972,0.5855932852005721,0.2998801097597807,0.6766354733116385,1.584025803819568,,-4.95194631482,1.478322263437086,HD_number_match,K,HD 36003,Y,no entry,Y,,GJ 204,25623.0,PM*,,K5V,K5V,12.92827044128057,0.0,0.0,0.0,0.0,0.0
Gaia DR3 4657193606465368704,4657193606465368704,4657193606465368704,86.12894471761606,-70.13806560262964,7.864647388458252,7.864647388458252,8.261411666870117,7.290993213653564,0.9704184532165528,37.82347285358811,5150.4,5320,N,0.82,0.85,0.5,no MG,Y,0.401,0.4,0.811,0.746,0.8925798831445866,339.4326264827049,0.1466611436931673,1.406063485192632,0.0759133798431713,0.7277935296778572,0.3996286421958765,0.6516326641689254,0.4188987833925032,0.7720640793240472,1.541689549412003,4.5089,-5.24130968,0.4891318367250553,HD_number_match,G,HD 39194,Y,"3 RV planets at 0.056au (5.6d, 4.2mE), 0.1au (14d, 6.4mE), and 0.185au (34d, 4.2mE)",(Y),,GJ 9191,27080.0,PM*,GAIA,K0V,K0V,26.43860874095106,0.0,1.0,1.0,0.0,2.0
Gaia DR3 3101923001490347392,3101923001490347392,3101923001490347392,103.07278431613712,-5.17372829320013,,6.231057,,,,114.35472221987996,4572.6,4710,N,0.89,0.74,0.5,no MG,Y,,,,,,,,,,,,,,,,,,,,,HD 50281,Y,"WDS comp. at 57"". No potential issues.",Y,Y,GJ 250A,32984.0,PM*,GAIA,K3.5V,K3.5V,,,,,,
Gaia DR3 5559265690666327168,5559265690666327168,5559265690666327168,105.9948808040473,-43.60965371718937,6.653335094451904,6.653335094451904,7.047281742095947,6.082799434661865,0.964482307434082,58.61789381185407,5192.1,5630,N,0.82,0.93,0.5,no MG,Y,0.499,0.571,0.873,0.794,0.9932399230234962,399.7594179429511,0.147003781609149,1.481792513187072,0.0444952410025054,0.4485103326475485,0.2341898593227231,0.7291129315562386,0.4679628778433395,0.7737185856127041,1.228904974522254,4.461,-5.0157464576,1.158406218943119,HD_number_match,G,HD 53706,Y,"closest WDS comp. >20"". No potential issues.",Y,,GJ 9223,34069.0,PM*,GAIA,K0.5V,K0.5V,17.05963716829713,0.0,1.0,0.0,0.0,1.0
Gaia DR3 5640565607657897728,5640565607657897728,5640565607657897728,128.2087598415853,-31.49746297688187,6.168385028839111,6.168385028839111,6.567158222198486,5.590499877929688,0.9766583442687988,82.20799300166873,5207.1,5410,N,0.88,0.87,0.5,no MG,Y,0.397,0.394,0.781,0.713,0.8844189887841725,323.8647870003163,0.1218245606708206,1.201811894907345,0.0358775209219281,0.3539354557597682,0.1888775475408689,0.603318449116826,0.4071262227019383,0.6413465495517231,1.844836198763456,4.5402,-4.95761449701,1.446638220150187,HD_number_match,G,HD 72673,Y,no entry,Y,,GJ 309,41926.0,PM*,GAIA,K1V,K1V,12.16426728699849,1.0,0.0,0.0,0.0,1.0
Gaia DR3 602079652404802688,602079652404802688,602079652404802688,129.9611370971114,11.52044772882236,7.571793314557076,7.361432552337646,7.800255298614502,6.745133399963379,1.055121898651123,54.25133390879819,5069.9,5187,N,0.82,0.81,0.5,no MG,Y,0.319,0.314,0.782,0.694,0.8015366597409053,288.612424517873,0.1295503034178627,1.177929911955286,0.0632765859985391,0.575339319227046,0.3331521763554943,0.5855403253440309,0.3729798718068781,0.6820842946895396,1.726218490132166,,-5.02122380182,1.134405932351998,HD_number_match,K,HD 73667,Y,no entry,"Y, WDS comp. at >100"". No logg. Otherwise no issues",,GJ 315.0,42499.0,PM*,GAIA,K2V,K2V,18.43272649629404,0.0,0.0,0.0,0.0,0.0
