source_id,ID DR2,ID DR3,RA,DEC,V mag,Phot G mean mag,Phot BP mean mag,Phot RP mean mag,BP-RP,Parallax,Teff Gaia [K],Teff sdb [K],DEB Lum,Mass {M_sun],Mass (RL),vsin(i) [km/s],age [Myr],astrid db,L* Gaia [L_Sun],L* sdb [Lsun],Radius [R_Sun],R* sdb [Rsun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_Ïƒ_RV_total [m/s],HZ DetLim [M_E],Semi-Amplitude_Ïƒ_photon [m/s],HZ DetLim (Ïƒ_photon) [M_E],Ïƒ_photon [m/s],Ïƒ_granulation [m/s],Ïƒ_p-mode [m/s],"Ïƒ_RV,total [m/s]",Density [Solar],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia SpT,HD,astrid db.1,Entry in exoplanet.eu,in 210 list,LitRes Felix,GJ,HIP,Object Type,Stellar Parameter Source,SIMBAD SpT,Readable SpT (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 2802397960855105920,2802397960855105920,2802397960855105920,9.838652915455736,21.24883304644718,5.853175045819283,5.654319286346436,6.080715656280518,5.06261157989502,1.018104076385498,90.02481648583029,5110.9,5240,N,0.91,0.88,-999,8330,Y,0.516,0.523,0.879,0.877,1.016007938320693,392.0741579793797,0.1326124883389313,1.426131808016938,0.0293912318413574,0.316077099003162,0.1546976443513979,0.6717469987364802,0.4491321137983504,0.6979918251926667,1.339953989136903,4.4555,-5.11549491731,0.791185714763645,HD_number_match,G,HD 3651,Y,Warm Jupiter at 62d),"Y (discarded, Warm Jupiter at 62d), DEC +21deg",,GJ 27,3093.0,PM*,GAIA,K0.5V,K0.5V,11.10804819199379,0.0,0.0,1.0,0.0,1.0
Gaia DR3 4911306239828325760,4911306239828325760,4911306239828325760,24.95065662375784,-56.19640006625107,5.860563174533844,5.625487327575684,6.0899977684021,4.995799541473389,1.094198226928711,122.0034723530398,4902.3,5400,N,0.83,0.85,7.33,85,Y,0.307,0.312,0.748,0.638,0.7952994420381807,284.9053574958589,0.1157980332221668,1.050052905190036,0.0274995879455708,0.2493653943014285,0.1447871356176373,0.5826348949527741,0.3589072716637888,0.6096842459449987,1.973230055558392,4.5288,-4.93908810138,1.552793669059586,HD_number_match,G,HD 10361,Y,no entry,Y discarded (PMS star <100Myr),,GJ 66,,PM*,GAIA,K2V,K2V,8.196488023769628,1.0,0.0,0.0,0.0,1.0
Gaia DR3 96331172942614528,96331172942614528,96331172942614528,25.62258568627586,20.26551918225611,5.21216824739933,4.999680042266846,5.439817905426025,4.417332649230957,1.022485256195068,130.823369060264,5092.7,5250,N,0.85,0.86,-999,4930,Y,0.451,0.446,0.825,0.806,0.9510003278043472,366.3081757600917,0.1306865644479409,1.317937819449113,0.0216438467116082,0.218272201584661,0.1139297068853742,0.6696058482136121,0.4326924435957378,0.6879129287782769,1.523822441374162,4.4769,-4.97133747062,1.372713164903069,HD_number_match,G,HD 10476,Y,no entry,"N discarded, DEC +20deg",,GJ 68.0,7981.0,PM*,GAIA,K1V,K1V,7.643894261271839,1.0,0.0,0.0,0.0,1.0
Gaia DR3 19316224572460416,19316224572460416,19316224572460416,39.02838450657828,6.893339107578528,5.787130809626579,5.498319625854492,6.0191650390625,4.820521831512451,1.198643207550049,138.3400038096467,4819.5,4820,N,0.8,0.78,2.0,no MG,Y,0.287,0.28,0.793,0.758,0.772908647985593,277.45369899728,0.1162996050376795,1.022806105907084,0.0265126118508385,0.2331672689326552,0.139593301344196,0.5867281147796168,0.3492978278237249,0.6123367212394162,1.603459718691285,,-4.95309894397,1.471823568333007,HD_number_match,,HD 16160,Y,no entry,"Y discarded (vis comp. at 1.7"")",,GJ 105,12114.0,PM*,GAIA,K3V,K3V,7.228567098899183,0.0,0.0,0.0,0.0,0.0
Gaia DR3 114575472461716864,114575472461716864,114575472461716864,41.56453074638041,25.64923805023599,7.856429513058663,7.667356491088867,8.083680152893066,7.077226161956787,1.006453990936279,39.6119946556793,5109.8,5350,N,0.88,-999.0,-999,6710,Y,0.422,0.493,0.799,0.77,0.918424491620396,343.5241372195048,0.1423170906053917,1.427368047404919,0.0738791871626906,0.7409706780520511,0.3889153644255952,0.6311092576015035,0.4155273680520396,0.7491866827784761,1.719141433438844,4.4907,-4.87531106148,1.981452373125049,HD_number_match,G,HD 17190,Y,no entry,"N discarded, DEC +25deg",,GJ 112.0,12926.0,PM*,GAIA,K1,K1,25.24487869627204,0.0,0.0,0.0,0.0,0.0
Gaia DR3 116037204451525376,116037204451525376,116037204451525376,43.91406593452299,26.87235600884521,7.566321189179421,7.345056533813477,7.795044422149658,6.729426383972168,1.06561803817749,44.43239202208633,5059.7,5004,N,0.81,-999.0,-999,-999,Y,0.452,0.491,0.851,0.932,0.953565279024959,377.8360772992849,0.1500845475829038,1.47530791824448,0.062744505032208,0.6167687919318592,0.3302646853562903,0.7092669764380491,0.4418336547953038,0.78999150377973,1.316503208655358,4.4771,-5.12166998084,0.7727301039954935,HD_number_match,K,HD 18143,Y,no entry,N discarded DEC +27deg,,GJ 9105,13642.0,PM*,GAIA,K2IV,K2IV,22.50610319387988,0.0,0.0,1.0,0.0,1.0
Gaia DR3 3195919528989223040,3195919528988725120,3195919528989223040,63.80795300602079,-7.668077815019982,4.382878216314316,4.179893970489502,4.610994815826416,3.569749355316162,1.041245460510254,199.6080124181338,5284.5,5380,Y 1e-3,0.8,0.87,0.37,150,Y,0.424,-999.0,0.834,-999.0,0.9097640957325804,353.8926581699579,0.1317686800396773,1.258773197709268,0.0164341343195698,0.1569936634623608,0.0865099733457531,0.6794813497973782,0.4417957683061868,0.6936358664455599,1.381521552589273,,-4.92455253368,1.641507207988874,HD_number_match,G,HD 26965,Y,no entry,"Y discarded (PMS star 150Myr), Eruptive Variable! Check activity, no lum no R*",,GJ 166,19849.0,PM*,GAIA,K0V,K0V,5.009818934047725,0.0,0.0,0.0,0.0,0.0
Gaia DR3 154660191781205120,154660191781205120,154660191781205120,70.89791880848558,27.68622434176509,7.971712768030167,7.729927062988281,8.20156192779541,7.090707778930664,1.110854148864746,45.77906131732794,4859.6,5050,N,0.8,-999.0,-999,125,Y,0.319,0.319,0.789,0.738,0.8122152395808229,298.8855851605146,0.1391324475215001,1.254339159481801,0.0726120106931973,0.6546286655894127,0.38229296290529,0.6156871683167978,0.3686451819560973,0.7325145673764152,1.626822139228114,4.5179,-4.98108517615,1.322508912885151,HD_number_match,K,HD 29883,Y,no entry,Y discarded DEC +27deg,,GJ 9166,21988.0,PM*,GAIA,K3,K3,21.84404772016345,0.0,0.0,0.0,0.0,0.0
Gaia DR3 4777123623183866240,4777123623183866240,4777123623183866240,72.40540809643494,-53.8804877585799,7.959220886230469,7.959220886230469,8.361394882202148,7.375976085662842,0.9854187965393066,33.92198637279849,5229.3,-999,-999,0.89,-999.0,-999,no MG,NO,0.439,-999.0,0.798,-999.0,0.9288915890576304,345.6102531373519,0.1458507275558792,1.487309324831686,0.0828460557802471,0.8448206831212389,0.436116092205252,0.6224876057338882,0.4247010447419107,0.767783677181755,1.760911390692329,4.553,-4.98107858629,1.322542225140906,HD_number_match,G,HD 31027,NO,no entry,N,,,,PM*,,,,29.47940574617659,0.0,1.0,0.0,0.0,1.0
Gaia DR3 4758877919212831104,4758877919212831104,4758877919212831104,88.51720463376759,-60.023737219948,7.128657276215553,6.857923030853271,7.359889030456543,6.19348669052124,1.166402339935303,77.3261340611626,4907.0,4940,Y 8e-6,0.76,0.78,5.0,7000,Y,0.259,0.253,0.755,0.686,0.730512666090607,262.1156658290246,0.1231043479796998,1.023729393670136,0.0493147616371928,0.4100990083482328,0.2596602998017937,0.584410398121848,0.3450616069701712,0.6481895246393161,1.75728268109685,,-5.25891545025,0.4572991062426492,HD_number_match,K,HD 40307,Y,"5 planets, one is a super-Earth in the HZ","Y (5 planets, one is a super-Earth in the HZ. May be used for validation.)",,GJ 2046,27887.0,PM*,GAIA,K2.5V,K2.5V,12.93223839703444,0.0,1.0,1.0,0.0,2.0
