"Lam_min","Lam_max","7000","6000","5000","4500","3700","3200","2800","2500"
380,450,33.077,1.857,1.373,1.607,5.548,1.544,0.518,0.305
450,550,52.749,1.454,0.878,0.858,0.929,0.374,0.202,0.174
550,650,115.476,2.767,1.517,1.409,0.867,0.476,0.61,0.276
650,750,138.957,4.125,2.31,1.88,0.516,0.257,0.167,0.124
750,850,148.731,4.647,2.752,2.424,1.044,0.304,0.131,0.118
850,950,100.721,4.944,3.16,2.865,2.304,0.72,0.206,0.134
950,1150,110.377,6.042,3.272,2.229,2.213,0.835,0.203,0.071
1150,1425,94.351,7.16,4.736,4.074,3.554,1.336,0.309,0.066
1425,1780,117.584,6.025,3.639,2.648,1.847,0.914,0.264,0.078
1980,2380,168.042,15.173,6.534,4.221,1.847,0.914,0.264,0.078
