source_id,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 6412595290592307840,6412595290592307840,6412595290592307840,330.8724078795965,-56.79725466122902,4.673483854799271,4.322904109954834,4.907976627349854,3.610557079315186,1.297419548034668,274.8431415216296,4560.303,0.7674768,0.21481201,0.7022301,0.6801935396018817,233.8618542705035,0.09541583882557886,0.7710372276901359,0.009040132638104891,0.07305159073198791,0.04760277646490326,0.6798781638134087,0.3009235992525693,0.5024327660503699,2.216291768419251,4.5249,-4.52073956485,7.683734009901181,HD_number_match,K,HD 209100,GJ 845,108870,PM*,GAIA,K5V,K5V,3.638438981826665,1,0,1,0,2.0
Gaia DR3 4758877919212831104,4758877919212831104,4758877919212831104,88.51720463376759,-60.023737219948,7.128657276215553,6.857923030853271,7.359889030456543,6.19348669052124,1.166402339935303,77.3261340611626,4907.0,0.7568047,0.2594847,0.75517464,0.730512666090607,262.1156658290246,0.1059486112069409,0.8810631735684946,0.02847189090625549,0.2367707728642508,0.1499149439884245,0.73051299765231,0.3450616069701712,0.5578582808931118,1.75728268109685,,-5.25891545025,0.4572991062426492,HD_number_match,K,HD 40307,GJ 2046,27887,PM*,GAIA,K2.5V,K2.5V,12.93223839703444,0,1,1,0,2.0
Gaia DR3 5378886891123024512,5378886891122066560,5378886891123024512,175.2561753700118,-44.40411484982858,7.744590456547737,7.394228935241699,7.979490756988525,6.665698051452637,1.313792705535889,78.22675647892444,4520.0,0.715,0.16284244,0.6427813,0.5937637878082087,197.6108576999949,0.09666948165170583,0.7044582505479338,0.03707916719312158,0.2702065306065478,0.1952637408705858,0.6382230139918799,0.2713711300321883,0.5090741255600304,2.692255921705275,,-4.74418052278,3.270847772146885,HIP_number_match,K,HD 101581,GJ 435,56998,PM*,,K4.5Vk:,K4V and K5V,12.7833499049576,0,0,1,1,1.5
Gaia DR3 6748283784056800384,6748283784056800384,6748283784056800384,299.1564058280886,-31.33517684397185,8.397654054045677,8.074734687805176,8.631278991699219,7.368726253509521,1.262552738189697,51.15731381284287,4607.3096,0.7573036,0.19909318,0.6912844,0.652838626885515,221.3691085162,0.1051845472961925,0.8271720847294067,0.05038807656028661,0.3962522196013287,0.2653367376694761,0.6599307895849604,0.293826991436123,0.5538874777135112,2.292449366349665,4.5931,-4.86066630922,2.095530212495538,HD_number_match,K,HD 188474,GJ 1246,98130,PM*,GAIA,K3.5Vk:,K3.5V,19.54754707525229,0,0,1,1,1.5
Gaia DR3 4673947174316727040,4673947174316727040,4673947174316727040,51.75029890079423,-63.50020035944183,8.069829419689178,7.686758995056152,8.30611801147461,6.936548233032227,1.369569778442383,61.22711646241579,4425.028,0.715,0.20409887,0.7259589,0.6687555258669828,236.2062132450272,0.109409715095083,0.8461524089254281,0.04342301811504145,0.3358247606158521,0.2286520868473962,0.7221379453675071,0.2981269094853483,0.5761174778683598,1.868830615026467,4.5377,-4.66748991959,4.384971080522081,HD_number_match,K,HD 21749,GJ 143,16069,PM*,,K4.5V,K4V and K5V,16.33263262714404,0,0,1,1,1.5
Gaia DR3 3494677900774838144,3494677900774838144,3494677900774838144,179.7923752668886,-20.35566459910368,7.896849588732719,7.632170677185059,8.12775707244873,6.974382877349854,1.153374195098877,49.14696348449504,4852.3135,0.8226277,0.29362223,0.72640634,0.7799808915973163,277.3751454749433,0.1084617625363631,0.9716867913511416,0.04048975988998884,0.3627394940856792,0.2131853477881288,0.7189201069669843,0.3499869310089186,0.5710692933436008,2.146171637580412,4.5221,-4.88017829427,1.944930251984003,HD_number_match,K,HD 104067,GJ 1153,58451,PM*,GAIA,K2V,K2V,20.34713701723366,0,0,1,1,1.5
Gaia DR3 4109034455276324608,4109034455276324608,4109034455276324608,259.0532941000963,-26.55114609488479,6.293554830293655,5.889863014221191,6.530970096588135,5.116134166717529,1.414835929870605,167.9616795430231,4381.2256,0.71249413,0.14709747,0.64339274,0.5692959470594223,185.8487974986299,0.08861298255678167,0.6311942604282857,0.01913424482184314,0.1362940864950351,0.1007658536983551,0.6182831655134701,0.2545505546694897,0.4666587534146245,2.675178851982804,4.6238,-4.56347778148,6.525696668034002,HD_number_match,K,HD 156026,GJ 664.0,84478,RS*,GAIA,K5V,K5V,5.953738988087766,1,0,0,0,1.0
Gaia DR3 3101923001490347392,3101923001490347392,3101923001490347392,103.0727843161371,-5.17372829320013,6.561050633091926,6.231057167053223,6.795032978057861,5.518120765686035,1.276912212371826,114.3547222198799,4572.622,0.7573959,0.20681396,0.6563052,0.6668788344233283,228.5347196553994,0.09676639209942033,0.7691578664106123,0.0215795679051478,0.1715274698981553,0.1136332536692355,0.6750691223608293,0.2978263408351925,0.5095505168788419,2.679201724604715,4.5617,-4.55406021932,6.764879045692878,HD_number_match,K,HD 50281,GJ 250,32984,PM*,GAIA,K3.5V,K3.5V,8.744719768346878,1,0,0,0,1.0
Gaia DR3 4780166972587269120,4780166972587269120,4780166972587269120,63.9929255161337,-53.30804447302178,7.615119501881599,7.242782592773438,7.850983142852783,6.498486518859863,1.35249662399292,76.66379283678688,4421.5454,0.7112622,0.196277,0.712935,0.6559590325305668,230.0612490818664,0.1051515304348522,0.8032945419208626,0.03522017151850553,0.2690609583077904,0.1854610339422166,0.7121670100164926,0.2932608962473571,0.5537029126847824,1.962817497329519,4.5231,-4.88253965386,1.927454676720255,HIP_number_match,K,HD 27274,GJ 167,19884,PM*,GAIA,K4.5Vk:,K4.5V,13.04396721055723,0,1,0,0,1.0
Gaia DR3 6232511606838403968,6232511606838403968,6232511606838403968,224.3715942734814,-21.42314039626168,5.725483061494828,5.364036560058594,5.960627555847168,4.63702392578125,1.323603630065918,169.8842702825854,4503.0303,0.73,0.22034836,0.7356795,0.6914430406204679,245.7629703836871,0.1024226060409298,0.8138445361931101,0.01461539295951509,0.1161331288491458,0.076958406914061,0.728523450241159,0.309247207436402,0.5393136274016379,1.833398606190053,4.5357,-4.87472063257,1.985929147193119,HD_number_match,K,HD 131977,GJ 570,73184,BY*,,K4V,K4V,5.886360157633197,1,0,0,0,1.0
