source_id,original_ranking,new_ranking,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],V_mag_group,new_ranking.1,log_rhk,rhk_source,rhk_n_measurements,rhk_n_catalogs,rhk_std,rhk_details,rhk_priority
Gaia DR3 6427464123776727168,7,163,6.427464325637242e+18,6.427464123776727e+18,302.1950398892303,-66.18709128441725,3.618788456735611,3.364138126373291,3.846358299255371,2.827079772949219,1.019278526306152,163.9544145383167,5437.5474,0.98,1.2535083,1.2615935,1.547245304479099,710.0173888051944,0.02689585939428121,0.3704111452314746,0.007217504922619879,0.09939984534087358,0.03792613478839159,1.177876948598961,0.6827936599692225,0.14133083379552,0.4880538549496394,4.3012,G,HD 190248,GJ 780,99240,PM*,GAIA,G8IV,G8IV,6.099256325704463,Brightest,163,-5.08210422507,Boro-Saikia2018(n=3),3,1,0.0,Boro-Saikia2018:logRpHK=-5.082,1.0
Gaia DR3 4683897617110115200,11,1869,,4.683897617110115e+18,6.482504988433097,-77.25279546754571,2.680731773376465,2.680731773376465,3.295626401901245,2.37148904800415,0.9241373538970947,133.7194055667135,5874.89404296875,1.17,3.597492694854736,1.1,2.542566897990447,1368.859627295949,0.03777932729771605,0.7287680779468051,0.005725197964174394,0.110439804375992,0.02970931773272435,1.607970210534945,1.081453942752446,0.1960452800828676,0.8790383170548457,,F,HD 2151,GJ 19,2021,PM*,,G0V,G0V,7.478346136538074,,1869,,,0,0,,,
Gaia DR3 4900108950849461248,24,184,4.900108950847894e+18,4.900108950849461e+18,5.03560954742747,-64.86961713712722,4.07351016998291,4.07351016998291,4.369476795196533,3.600200653076172,0.7692761421203613,116.1825785409811,5857.8096,1.0179046,1.2848463,1.0974233,1.52126497433242,679.1989776779841,0.02717281654595448,0.3781783160183041,0.01066394588362045,0.1484157186855304,0.05604877905474265,1.106151991608447,0.7085045505948163,0.142817978213726,0.7701663629538618,4.2769,F,HD 1581,GJ 17,1599,PM*,GAIA,F9.5V,F9.5V,8.607142418062878,Brightest,184,,,0,0,,,
Gaia DR3 3399063235755057792,25,126,3.399063235753902e+18,3.3990632357550577e+18,88.59482419468164,20.27585214802184,4.24168586730957,4.24168586730957,4.544131755828857,3.747902393341064,0.796229362487793,114.9496607477911,5808.179,1.0000995,1.126165,1.0480603,1.429087692864052,623.892803903488,0.02634993952662763,0.3523194853171306,0.01129537686048425,0.1510281022818787,0.05938884133129865,1.058526477748422,0.6680023413757921,0.1385427327450068,0.8687291588668976,4.3354,F,HD 39587,GJ 222,27913,SB*,GAIA,G0V,G0V,8.699460211492765,Brightest,126,-4.39454085692,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-4.395,1.0
Gaia DR3 1460229442589223424,27,237,1.4602293695733071e+18,1.4602294425892234e+18,197.9642816133702,27.8821053725246,4.093278884887695,4.093278884887695,4.387678146362305,3.625619411468506,0.7620587348937988,108.7250092052496,5899.0034,1.0293616,1.4362096,1.1473675,1.603865938447064,731.1582382711508,0.02832472153965871,0.4070424072225296,0.01093837207233783,0.1571906468060454,0.05746896525823462,1.15243262796043,0.7457998722046391,0.1488148718426171,0.681491323520846,4.3304,F,HD 114710,GJ 502,64394,PM*,GAIA,F9.5V,F9.5V,9.197515891787267,Brightest,237,-4.693170357565,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-4.693,1.0
Gaia DR3 3796442680948579328,37,1719,3.796442680947601e+18,3.7964426809485793e+18,177.6771209175683,1.763518531662046,3.468564987182617,3.468564987182617,3.825246095657349,3.006280183792114,0.8189659118652344,90.89451645739487,6000.8833,1.268741,3.5524542,1.6837544,2.505171704279976,1285.62119037289,0.03562620357654857,0.7103637263411077,0.008830785522338663,0.1760802185023422,0.04595818593934693,1.457966676810399,1.049191794337178,0.185409971077005,0.2657888411605542,4.0924,F,HD 102870,GJ 449,57757,PM*,GAIA,F9V,F9V,11.00176379142444,Brightest,1719,-4.84643333002,Boro-Saikia2018(n=3),3,1,0.0,Boro-Saikia2018:logRpHK=-4.846,1.0
Gaia DR3 4430238051199001216,42,597,4.4302380511990016e+18,4.4302380511990016e+18,236.6098890459251,7.352758689332476,4.246856212615967,4.246856212615967,4.570348262786865,3.787848234176636,0.7825000286102295,83.921443569609,5888.4365234375,1.0560429,2.06265,1.3603567,1.923464839662253,948.0447993486778,0.03279443128992773,0.5227439386727205,0.01171917050421338,0.186803829381582,0.06143093467597092,1.347395615595826,0.8731019981734591,0.1719057304937122,0.4194914960754469,,,HD 141004,GJ 598,77257,PM*,GAIA,G0-V,G0V,11.91590560725455,Brightest,597,-4.889484363835,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-4.889,1.0
Gaia DR3 4315804351350378496,48,470,4.3158043513503785e+18,4.3158043513503785e+18,291.2457765680834,11.9472711233531,4.971371650695801,4.971371650695801,5.349818229675293,4.445603370666504,0.9042148590087891,67.01526888035684,5465.647,0.9361322,1.6658847,1.4097991,1.780160432214876,896.5270268499016,0.03390149389687464,0.4894665248895318,0.01366081121532532,0.1972334851401239,0.0716560227073217,1.417843888268993,0.7990404597704105,0.1778259122533908,0.3340915542427599,4.1026,G,HD 182572,GJ 759,95447,PM*,GAIA,G7IVHdel1,G7IV,14.92197251025452,Bright,470,-5.09714415485,Boro-Saikia2018(n=6),6,1,0.0,Boro-Saikia2018:logRpHK=-5.097,1.0
Gaia DR3 3575733210781078016,49,115,3.575733210781078e+18,3.575733210781078e+18,180.1856293061816,-10.44827200397585,5.355077266693115,5.355077266693115,5.731156826019287,4.805628299713135,0.9255285263061523,78.33591471044681,5510.1235,0.8837685,0.859334,1.0129887,1.274556835651582,559.00129440771,0.028710958358257,0.3408023234265652,0.0165970713828225,0.1970091147346101,0.08729571974562657,1.074300387380654,0.6035419281247679,0.1510112065351934,0.8502070770360188,4.3911,G,HD 104304,GJ 454,58576,SB*,GAIA,G8IV,G8IV,12.76553677449611,Bright,115,-4.92727209105,Boro-Saikia2018(n=4),4,1,0.0,Boro-Saikia2018:logRpHK=-4.927,1.0
Gaia DR3 6863535898551993472,52,116,6.863535898551993e+18,6.863535898551993e+18,298.573333453915,-23.94289729665476,6.193460552186966,5.908112049102783,6.425188064575195,5.23886775970459,1.186320304870605,70.70095856863598,4769.5723,0.78,0.7291861,1.2505819,1.23604252427662,568.258682213336,0.03118012695081777,0.3424111371550934,0.01843952035942757,0.2024974800399424,0.09698179014823462,1.205171322654377,0.544335211347528,0.163990411344593,0.3988027886649244,4.3154,K,HD 188088,GJ 770,97944,BY*,,K3VaCN1,K3V,14.14407980097197,Bright,116,-4.52553258704,Boro-Saikia2018(n=2),2,1,0.0,Boro-Saikia2018:logRpHK=-4.526,1.0
